OpenGL Version: 4.0.0 - Build 10.18.10.4425
OpenGL Vendor: Intel
OpenGL Render: Intel(R) HD Graphics 4000
GLEW Version: 1.5.1
DiffX: -20 DiffY:1
DiffX: -21 DiffY:2
DiffX: -16 DiffY:1
DiffX: -16 DiffY:1
DiffX: -12 DiffY:0
DiffX: -10 DiffY:0
DiffX: -12 DiffY:1
DiffX: -11 DiffY:0
DiffX: -11 DiffY:1
DiffX: -9 DiffY:0
DiffX: -7 DiffY:0
DiffX: -6 DiffY:0
DiffX: -6 DiffY:2
DiffX: -9 DiffY:2
DiffX: -7 DiffY:1
DiffX: -5 DiffY:1
DiffX: -3 DiffY:0
DiffX: -1 DiffY:1
DiffX: -3 DiffY:1
DiffX: -9 DiffY:3
DiffX: -8 DiffY:3
DiffX: -5 DiffY:2
DiffX: -1 DiffY:1
DiffX: -1 DiffY:0
DiffX: -3 DiffY:4
DiffX: -9 DiffY:10
DiffX: -11 DiffY:12
DiffX: -6 DiffY:9
DiffX: -4 DiffY:8
DiffX: -3 DiffY:8
DiffX: -5 DiffY:9
DiffX: -3 DiffY:7
DiffX: -4 DiffY:7
DiffX: -7 DiffY:8
DiffX: -7 DiffY:7
DiffX: -11 DiffY:9
DiffX: -12 DiffY:8
DiffX: -6 DiffY:3
DiffX: -1 DiffY:0
DiffX: -3 DiffY:2
DiffX: -3 DiffY:1
DiffX: -2 DiffY:2
DiffX: -5 DiffY:2
DiffX: -4 DiffY:3
DiffX: -6 DiffY:2
DiffX: -5 DiffY:3
DiffX: -7 DiffY:3
DiffX: -12 DiffY:7
DiffX: -9 DiffY:4
DiffX: -7 DiffY:3
DiffX: -1 DiffY:1
DiffX: -4 DiffY:1
DiffX: -12 DiffY:5
DiffX: -23 DiffY:2
DiffX: -24 DiffY:0
DiffX: -21 DiffY:-2
DiffX: -16 DiffY:-2
DiffX: -10 DiffY:-1
DiffX: -10 DiffY:1
DiffX: -13 DiffY:1
DiffX: -18 DiffY:0
DiffX: -18 DiffY:0
DiffX: -19 DiffY:1
DiffX: -13 DiffY:0
DiffX: -10 DiffY:0
DiffX: -7 DiffY:0
DiffX: -3 DiffY:0
DiffX: -1 DiffY:0
